EmpID,Name,Age,Department,JobRole,EducationField,Attrition,YearsAtCompany,WorkLifeBalance,EmployeeStatus,JoiningDate,ManagerName,Location,PhoneNumber,email,MonthlyIncome
1,Employee_1,18,Research & Development,Laboratory Technician,Life Sciences,Yes,0,3,On Leave,2/12/2015,Diana Green,New York,-917,saghilsalu0130@gmail.com,45795
2,Employee_2,18,Sales,Sales Representative,Medical,No,0,3,Resigned,6/3/2012,Bob Smith,Austin,-880,saghilsalu0130@gmail.com,30860
3,Employee_3,18,Sales,Sales Representative,Marketing,Yes,0,3,On Leave,10/5/2019,Diana Green,San Francisco,-937,nairsarga1@gmail.com,106820
4,Employee_4,18,Research & Development,Research Scientist,Life Sciences,No,0,3,On Leave,10/21/2013,Bob Smith,Austin,-926,user4@example.com,84886
5,Employee_5,18,Research & Development,Laboratory Technician,Medical,Yes,0,3,Resigned,4/25/2019,Alice Johnson,San Francisco,-886,user5@example.com,36265
6,Employee_6,18,Research & Development,Laboratory Technician,Life Sciences,No,0,4,Resigned,10/31/2021,Alice Johnson,New York,-948,user6@example.com,112386
7,Employee_7,18,Sales,Sales Representative,Medical,Yes,0,4,Active,4/4/2012,Bob Smith,San Francisco,-952,user7@example.com,67194
8,Employee_8,18,Research & Development,Research Scientist,Medical,No,0,1,Resigned,3/15/2016,Diana Green,Austin,-940,user8@example.com,117498
9,Employee_9,19,Sales,Sales Representative,Marketing,Yes,0,2,Active,7/25/2012,Charlie Davis,Austin,-940,user9@example.com,74131
10,Employee_10,19,Research & Development,Laboratory Technician,Medical,No,1,3,Resigned,9/1/2017,Charlie Davis,New York,-953,user10@example.com,90263
11,Employee_11,19,Sales,Sales Representative,Technical Degree,Yes,0,4,Resigned,12/28/2016,Alice Johnson,Austin,-889,user11@example.com,46023
12,Employee_12,19,Research & Development,Laboratory Technician,Life Sciences,Yes,1,2,Active,7/12/2020,Charlie Davis,San Francisco,-868,user12@example.com,71090
13,Employee_13,19,Human Resources,Human Resources,Technical Degree,Yes,1,4,Resigned,12/2/2014,Alice Johnson,New York,-887,user13@example.com,97221
14,Employee_14,19,Sales,Sales Representative,Other,Yes,1,4,Active,2/23/2010,Charlie Davis,San Francisco,-918,user14@example.com,94820
15,Employee_15,19,Research & Development,Research Scientist,Life Sciences,No,1,3,Resigned,12/28/2011,Bob Smith,Austin,-867,user15@example.com,30769
16,Employee_16,19,Research & Development,Research Scientist,Medical,Yes,1,4,On Leave,6/29/2017,Alice Johnson,New York,-953,user16@example.com,89735
17,Employee_17,19,Research & Development,Research Scientist,Life Sciences,No,1,3,Resigned,9/6/2018,Alice Johnson,San Francisco,-895,user17@example.com,92955
18,Employee_18,20,Research & Development,Laboratory Technician,Life Sciences,Yes,1,3,Active,3/29/2015,Bob Smith,Austin,-903,user18@example.com,94925
